held_out,context,arm,targets,pds_proxy_generator,detectable_median,det_precision,det_yield,n_conf_median
orion_hct116,A,zk16@0.788,265,0.6609491137793024,39.5,0.5515911862076579,0.27797055454416036,53.0
orion_hct116,A,zk16@1.576,265,0.6795240137221268,135.5,0.5415161614736286,0.4929592057302125,53.0
orion_hct116,A,zk16@3.152,265,0.6781017724413951,437.5,0.5244958912984068,0.5180557842329003,53.0
orion_hct116,A,zk16@6.304,265,0.6609133790737565,1329.5,0.5142629869744973,0.5117286979802399,53.0
orion_hct116,A,zk16@12.608,265,0.6337621497998855,3233.0,0.5079481230827485,0.5065256727318406,53.0
orion_hct116,B,raw@0.788,265,0.677615780445969,536.5,0.5165837082134443,0.513134896318907,55.0
orion_hct116,B,raw@1.576,265,0.6714265294453974,1649.0,0.5127581859496043,0.5111709163691848,55.0
orion_hct116,B,zk4@0.788,265,0.67823756432247,160.5,0.5274633340846263,0.5100417472290506,55.0
orion_hct116,B,zk4@1.576,265,0.6812464265294453,495.5,0.5188477331116607,0.5150480978340846,55.0
orion_hct116,B,zk4@3.152,265,0.6680960548885078,1332.5,0.5141333819494507,0.5121479615851903,55.0
orion_hct116,B,zk4@6.304,265,0.6455974842767296,3063.0,0.5104486790587128,0.5093321070104575,55.0
orion_hct116,B,zk4@12.608,265,0.6156732418524871,5728.5,0.5072025499947335,0.506650138460419,55.0
orion_hct116,B,zk16@0.788,265,0.6655588907947398,56.0,0.5329930145083288,0.3845650087663367,55.0
orion_hct116,B,zk16@1.576,265,0.6857632933104632,169.5,0.5288522196917003,0.5143575263784481,55.0
orion_hct116,B,zk16@3.152,265,0.6831475128644939,469.5,0.5182678869630402,0.5168611962658709,55.0
orion_hct116,B,zk16@6.304,265,0.661492281303602,1222.0,0.5133561094948184,0.5121766822634604,55.0
orion_hct116,B,zk16@12.608,265,0.6350914808461978,2986.0,0.5091227211115779,0.5082988075375336,55.0
orion_hct116,C,raw@0.788,265,0.6675314465408806,567.0,0.5152534504829316,0.5106848452119788,58.0
