target,panel,energy,genes_z3,cells
APOBEC3G,False,16.9222,324,1130
APOBEC3H,False,28.0792,799,1800
APOBR,False,16.8535,853,2876
APOC1,False,37.8523,2073,5743
APOC3,False,12.5469,311,1181
APOD,False,17.4473,277,1162
APOE,False,20.3971,416,1480
APOL1,False,20.7148,627,1606
APOL2,False,34.8598,1330,2096
APOL3,False,18.8253,728,2495
APOL6,False,20.799,256,828
APOLD1,False,21.2439,801,3389
APOM,False,70.8326,175,132
APOO,False,14.3736,417,1828
APOOL,False,13.2234,365,2046
APP,False,21.7738,318,975
APPBP2,False,23.9765,790,1729
APPL1,False,97.022,323,114
APPL2,False,56.7183,1416,3586
APRT,False,18.1687,301,912
APTX,False,14.7112,334,1561
AQP1,False,14.7514,305,1256
AQP11,False,18.06,309,1398
AQP3,False,13.1785,377,1688
AQP5,False,29.8327,1018,2932
AQP9,False,23.7998,1199,3734
AR,False,15.6396,425,1909
ARAF,False,17.795,309,1071
ARAP1,False,15.7692,304,1288
ARAP2,False,33.8361,701,871
ARAP3,False,96.1006,2546,4262
ARB2A,False,25.9285,505,2419
ARC,False,21.8032,378,1145
AREG,False,24.0026,251,729
AREL1,False,23.3158,514,777
ARF1,False,37.2286,2093,1659
ARF3,False,14.612,232,1073
ARF4,False,43.1241,802,794
ARF5,False,21.0272,536,1495
ARF6,False,41.5532,1680,4927
ARFGAP1,False,18.7549,345,968
ARFGAP2,False,23.1886,819,1841
ARFGAP3,False,22.3917,321,1054
ARFGEF1,False,44.5141,1885,2282
ARFGEF2,False,28.4986,936,1991
ARFIP1,False,27.2436,868,2718
ARFIP2,False,29.8339,1448,3663
ARFRP1,False,34.9654,191,248
ARG1,False,44.8947,1259,1802
ARG2,False,17.251,377,2162
ARGFX,False,17.0787,943,3803
ARGLU1,False,24.1325,660,981
ARHGAP1,False,24.0778,542,1435
ARHGAP10,False,21.5972,777,1807
ARHGAP11A,False,63.7891,1375,2160
ARHGAP11B,False,15.6663,255,1406
ARHGAP12,False,12.4071,410,1843
ARHGAP15,False,26.0584,913,1933
ARHGAP17,False,19.3795,695,2995
ARHGAP18,False,16.9685,189,868
ARHGAP19,False,34.5865,1427,2583
ARHGAP21,False,19.4797,385,995
ARHGAP24,False,20.7755,604,1204
ARHGAP25,False,22.4322,273,1347
ARHGAP26,False,28.7916,401,850
ARHGAP27,False,32.147,438,674
ARHGAP30,False,35.3355,2732,3582
ARHGAP31,False,18.8424,297,799
ARHGAP32,False,14.9725,505,2147
ARHGAP33,False,21.4294,863,3134
ARHGAP35,False,16.4699,408,1911
ARHGAP45,False,23.055,816,1263
ARHGAP5,False,25.1008,728,2226
ARHGAP6,False,29.8383,317,416
ARHGAP9,False,22.458,573,1691
ARHGDIA,False,16.8081,620,2841
ARHGDIB,False,41.0412,1310,3722
ARHGEF1,False,29.9018,779,1874
ARHGEF10,False,54.3683,571,628
ARHGEF11,False,21.2221,843,1941
ARHGEF12,False,16.0691,452,2080
ARHGEF18,False,21.5933,786,1669
ARHGEF19,False,10.6108,208,1682
ARHGEF2,False,54.3731,1469,3221
ARHGEF3,False,16.2187,369,1055
ARHGEF39,False,19.9024,442,1542
ARHGEF40,False,15.5431,572,2675
ARHGEF5,False,21.1978,407,974
ARHGEF6,False,31.5186,1209,3463
ARHGEF7,False,13.0216,476,2057
ARHGEF9,False,14.9841,372,1292
ARID1A,False,54.8497,524,409
ARID1B,False,17.351,613,2458
ARID2,False,62.0006,2124,2525
ARID3A,False,29.9104,508,934
ARID3B,False,30.5588,727,1196
ARID3C,False,13.5135,411,1996
ARID4A,False,18.2262,817,1634
ARID4B,False,34.9166,950,968
ARID5A,False,24.6409,655,1834
ARID5B,False,28.0787,623,878
ARIH1,False,52.628,1758,1042
ARIH2,False,47.3166,2323,3961
ARIH2OS,False,14.3765,516,2841
ARK2N,False,45.9175,1843,3407
ARL1,False,35.1423,922,1153
ARL10,False,19.7769,284,1125
ARL13A,False,20.2109,362,815
ARL13B,False,18.6444,872,3564
