target,gene,dist,log2fc
ARGFX,POLQ,21942,0.19118940763197856
ARHGAP19,FRAT2,42056,-0.4004080733813681
ARHGAP35,AP2S1,9471,-0.018429267009530244
ARHGAP4,NAA10,84,-1.2163401524187922
ARHGAP4,HCFC1,37428,0.1386340086456489
ARHGAP45,CNN2,39653,-0.10321775319751174
ARHGAP45,POLR2E,29563,-0.012997023875492798
ARHGAP45,GPX4,38059,-0.007125605148654481
ARHGAP45,TMEM259,44653,-0.30064805159448826
ARHGDIA,ANAPC11,19291,-0.03904922390895498
ARHGDIA,ALYREF,20457,-0.06612271603260127
ARHGDIA,P4HB,10522,0.07470764252540359
ARHGDIA,PCYT2,40129,0.08917559499863234
ARHGDIA,SIRT7,49945,-0.015488972932798276
ARHGDIA,MCRIP1,38076,0.02698373122696862
ARHGEF2,LAMTOR2,46846,0.03204042169128058
ARHGEF2,UBQLN4,46744,0.03981928197579756
ARHGEF2,SSR2,13902,0.0364236345143215
ARID3A,MED16,31306,-0.3299011724988224
ARID3A,R3HDM4,11283,0.07466124136781692
ARID3C,DCTN3,9974,-0.42581893260641396
ARID3C,RPP25L,17898,0.03841412947633478
ARID4B,GGPS1,1450,-1.1131408320760334
ARL13B,PROS1,125,-0.8051607885401451
ARL16,NPLOC4,35332,0.004622755049295005
ARL16,CCDC137,17099,-0.29078780846781066
ARL16,HGS,471,-0.9842116908005801
ARL16,OXLD1,17162,-0.3624196487312226
ARL17A,NSF,10936,0.19986103020458926
ARL2,SNX15,13669,-0.985572667536389
ARL2,SAC3D1,27162,-0.15112120424729217
ARL6IP5,UBA3,4377,0.08218851821016034
ARL6IP5,TMF1,32403,-0.15799114132843606
ARL6IP6,PRPF40A,1429,-0.4924417082465395
ARL8A,PTPN7,16833,-0.060109442385837084
ARMC1,MTFR1,9659,-0.5569288020338071
ARMC6,SUGP2,28072,-0.5912327340297759
ARMC7,NT5C,21865,0.01293624341104255
ARMCX3,ARMCX6,4786,-0.9693523019270688
ARMCX6,ARMCX3,4786,-1.6169587459939823
ARPC1A,ARPC1B,48347,0.0658762142050804
ARPC1B,BUD31,34384,0.03625622574070147
ARPC1B,ARPC1A,48347,-0.0542807625003743
ARPC3,GPN3,18846,-0.20624405080723096
ARPC3,ANAPC7,46682,0.07044571816788789
ARPC3,FAM216A,17983,-0.0154836342165835
ARPC4,TADA3,527,-2.7026281511117625
ARPC4,TTLL3,15602,-3.1896094329027216
ARRB2,PELP1,6056,-0.03734798080331677
ARRDC1,DPH7,26683,-0.155006817723308
ARRDC1,ZMYND19,15099,-0.0019175544124043176
ARRDC1,EHMT1,13282,-0.05481738843885827
ARSK,TTC37,31,-1.9467298434692182
ARVCF,TANGO2,247,0.19152649554746862
ASB13,TASOR2,18104,-0.2364465383996615
ASCC1,ANAPC16,2002,-4.498947659263759
ASCL3,AKIP1,31908,0.13263078839350365
ASCL5,TMEM9,45146,-0.07529379070957731
ASF1B,SAMD1,45586,-0.09808639311596648
ASH2L,STAR,45609,1.4030219013180396
ASIC4,CHPF,29648,-0.3363792820984084
ASIC4,GMPPA,15552,0.5149329243454699
ASL,CRCP,38804,0.014250932125492222
ASPSCR1,CENPX,47300,0.08421202831330447
ASPSCR1,PYCR1,34395,0.0646346114798609
ASPSCR1,MAFG,49038,0.3425077491074461
ATAD1,PTEN,20283,0.0351934362127144
ATAD2B,UBXN2A,433,0.2641214956048801
ATAD3A,ATAD3B,40376,-1.5031027967377164
ATAD3B,ATAD3A,40376,-0.27554148855840854
ATE1,NSMCE4A,46499,0.06467502108738832
ATF2,ATP5MC3,13382,-0.3168739000169411
ATF4,MIEF1,20263,0.32866793958318546
ATF5,AKT1S1,44440,0.07112379246992642
ATF5,NUP62,6016,-2.3012549463319245
ATF6,DUSP12,16485,0.06692536511773083
ATF6B,AGPAT1,49857,0.12756233556053947
ATF6B,PPT2,18325,-0.19201605707098532
ATG12,AP3S1,1112,-0.9775625339802809
ATG2A,EHD1,28877,-0.10398543222682725
ATG4A,PSMD10,29,-1.4282098514539028
ATG4B,DTYMK,49777,0.09609165579757543
ATG4B,ING5,49881,-0.07097526574462501
ATG4B,THAP4,377,-0.30980282869663356
ATG4D,KEAP1,39975,-0.40050410123380537
ATG4D,KRI1,22498,-0.1311842254576117
ATG9A,STK16,14829,-0.18319444731859647
ATG9A,ANKZF1,614,-0.9727441432428029
ATL3,RTN3,9523,-0.34040526883771927
ATM,NPAT,129,-0.4298098599589854
ATMIN,CMC2,15539,-0.28761536316572345
ATMIN,CENPN,29303,-0.2669197331671454
ATN1,C12orf57,18465,-0.36860913066705714
ATN1,EMG1,46311,0.09297877618694465
ATN1,PHB2,46387,0.04596287583926694
ATP13A2,SDHB,42224,0.029359119375603374
ATP5F1A,HAUS1,8,-0.2057211712423014
ATP5F1B,BAZ2A,9165,-0.03587136383624922
ATP5F1B,PTGES3,42329,-0.26710113548702835
ATP5F1C,KIN,91,-1.1145134337818605
ATP5F1C,TAF3,30405,-0.2392250941486816
ATP5F1D,CIRBP,17650,-0.0987980335715325
ATP5F1D,MIDN,6582,0.15102353472030527
ATP5F1D,FAM174C,33775,-0.048020202088572814
ATP5F1E,CTSZ,24125,-0.7725330471448353
ATP5F1E,PRELID3B,10534,-0.654434018420535
ATP5IF1,DNAJC8,2985,-0.07342332380355272
ATP5IF1,SESN2,23401,-0.1733862132009407
ATP5MC1,UBE2Z,15603,-0.39676918483912216
ATP5MC3,ATF2,13382,0.1269753694130629
ATP5MD,PDCD11,110,-0.7290388543358589
ATP5MD,PCGF6,45342,0.04722165091786397
ATP5MF,ZNF394,38717,-0.1563259241192204
ATP5MF,CPSF4,27293,0.06380494438694237
ATP5MG,UBE4A,41767,-0.27947661545111774
ATP5MG,KMT2A,35111,-0.26069061978218244
ATP5PB,WDR77,1186,-0.6701764742703555
ATP5PF,GABPA,1151,-1.9369965497397779
ATP6AP1,FAM50A,15485,0.16354700327878563
ATP6AP1,EMD,49413,-0.1590167200412729
ATP6V0A1,CAVIN1,35501,0.12079411916554673
ATP6V0B,B4GALT2,4456,0.2434713681562429
ATP6V0B,DPH2,4512,-0.16121462905593048
ATP6V0C,PDPK1,24256,0.09453018207653137
ATP6V0C,AMDHD2,6627,0.3971458443725448
ATP6V1A,NAA50,490,-0.2095369212152179
ATP6V1D,EIF2S1,272,-0.28134915046070724
ATP6V1E1,BCL2L13,2110,-0.11248577570879631
ATP6V1E2,RHOQ,1481,-2.650073890768705
ATP6V1F,FLNC,32524,-0.8575968390722731
ATP7A,PGK1,51,-0.19261097827108936
ATP7A,MAGT1,11417,-0.44017463086010955
ATP7A,COX7B,14961,-0.21816524500151177
ATPAF1,EFCAB14,45279,0.0333423467307473
ATPAF2,DRG2,47043,-0.016347756875934052
ATPSCKMT,CCT5,32,-0.6204331584418801
ATRAID,CAD,5333,-0.5375210240776739
ATRAID,SLC5A6,946,-1.7691681931224577
ATRIP,CCDC51,6254,-0.7247694141049131
ATRIP,TMA7,6497,-0.925379476794523
ATXN1L,AP1G1,762,-0.02991072764132379
ATXN1L,IST1,37531,-0.21852059173893282
ATXN2L,TUFM,23436,-0.07545441140664057
ATXN3,CPSF2,14887,-0.15441362690581398
ATXN3,NDUFB1,15353,-0.20877894360477836
ATXN7,THOC7,1195,0.0988720309181114
ATXN7L3,UBTF,20665,0.09202895536193947
AUNIP,STMN1,49007,-0.10289476532362113
AUNIP,MTFR1L,40823,0.5127479016624237
AUP1,HTRA2,692,-0.46068354901253883
AURKA,CSTF1,198,0.09895605966295833
AURKA,FAM210B,33608,-0.0495317078551741
AURKAIP1,CCNL2,25388,0.016489213923525127
AURKB,PFAS,36980,-0.28753858524508435
AURKB,VAMP2,47054,-1.189053090712331
AVEN,EMC7,26774,-0.20262033729469853
AVL9,LSM5,143,-1.3372542958447873
AXIN1,NME4,43991,-0.016286045573936328
AXL,HNRNPUL1,43562,0.0013970609695589716
B2M,SPG11,47565,-0.06872852672478055
