held_out,shape,arm,targets,pds_proxy,reach_proxy,prec_200,yield_200,mse_ratio,energy_kept,pds_minus_base,pds_minus_base_ci95,reach_minus_base,reach_minus_base_ci95
cd4_mix,t16,random_r20,292,0.5245728004519136,0.002836874337184687,0.4991780821917808,0.18757895197921357,1.0006833832827615,0.03847125545144081,-0.14729557972037846,"[-0.1905392364543614, -0.1053908934707904]",-0.00187518798772037,"[-0.0035970276735145823, -0.00047407165253314184]"
cd4_mix,t16,stack_r40,292,0.5284682012898366,0.0027849363854118335,0.5047773972602739,0.20250418544926083,1.1673984037284362,0.5844250917434692,-0.1434001788824554,"[-0.17307083509862073, -0.11480840747540368]",-0.001927125939493224,"[-0.003706832002016622, -0.00026483291057767826]"
cd4_mix,t16,half_stack_r40,292,0.6391752577319587,0.0052934739406808535,0.5125000000000001,0.2048806102073304,1.2244952262267554,0.711457371711731,-0.03269312244033329,"[-0.04205032245916302, -0.023772536835663514]",0.0005814116157757966,"[-5.055192195136714e-06, 0.001255853915752662]"
cd4_mix,t16,self_r40,292,0.5408840559243046,0.0032717552846803282,0.5024828767123288,0.20258325485204712,1.2617054270644878,0.7582297325134277,-0.13098432424798756,"[-0.15894677070093677, -0.1028047474462176]",-0.0014403070402247288,"[-0.0031535682431012924, -2.481050720466831e-05]"
cd4_mix,t16,random_r40,292,0.5369886550863814,0.001953109036971921,0.49967465753424656,0.18770646409637148,1.0014148994031022,0.05596008524298668,-0.13487972508591065,"[-0.17739402391375983, -0.09391034693781483]",-0.002758953287933136,"[-0.004577205646348759, -0.0012903075029821905]"
cd4_mix,t16,stack_r80,292,0.5586781528032764,0.003119649196650695,0.5051027397260275,0.20247187517573798,1.2269563759420024,0.681771457195282,-0.11319022736901568,"[-0.13697600386009512, -0.08868509626700563]",-0.001592413128254362,"[-0.0034871740600262973, 0.00014202654491882722]"
cd4_mix,t16,half_stack_r80,292,0.6426705267617568,0.0050968524333694,0.5130308219178082,0.2051829134576951,1.268914296207608,0.7736981511116028,-0.029197853410535234,"[-0.03784776161559101, -0.020935131572753382]",0.0003847901084643437,"[-0.00047943005424581404, 0.0011981417279660002]"
cd4_mix,t16,self_r80,292,0.5810384597279104,0.0030089118811675434,0.5072945205479452,0.2040075210819108,1.3124808444463534,0.8414967656135559,-0.09082992044438168,"[-0.11289601280421785, -0.06908511038930473]",-0.0017031504437375127,"[-0.0033630390797019715, -0.00045276824307304914]"
cd4_mix,t16,random_r80,292,0.5241255943134209,0.0020346418778842573,0.4984931506849315,0.18688831557075453,1.002888296053481,0.07933281362056732,-0.14774278585887116,"[-0.18803988372640398, -0.10736124841124135]",-0.0026774204470208,"[-0.004500058903131985, -0.0013038748870145122]"
cd4_mix,t16,stack_r160,292,0.6024102057148236,0.003956498089497883,0.5112671232876713,0.2035684756175167,1.270385423629023,0.751050591468811,-0.06945817445746834,"[-0.09056630419432285, -0.04856864614225863]",-0.0007555642354071733,"[-0.0023586420828149, 0.0006151252162088473]"
cd4_mix,t16,half_stack_r160,292,0.65247375606082,0.004861584100515942,0.5152910958904109,0.2057313413576324,1.301900633889566,0.8204010128974915,-0.01939462411147202,"[-0.027044202796215226, -0.011967471637715959]",0.0001495217756108849,"[-0.001045751898400433, 0.0011179151355834435]"
cd4_mix,t16,self_r160,292,0.6267358659323071,0.003718872331348915,0.5123116438356163,0.20661317898034173,1.371899579977077,0.9278817772865295,-0.04513251423998493,"[-0.05864402391375983, -0.0320752718542579]",-0.0009931899935561417,"[-0.002184683822047687, -5.99914182312528e-05]"
cd4_mix,t16,random_r160,292,0.5687638280845455,0.0024340780338319356,0.4982534246575343,0.18652794831738756,1.0056022151831638,0.1131562888622284,-0.10310455208774655,"[-0.1430088735112743, -0.06292425740243847]",-0.0022779842910731216,"[-0.004000225200337423, -0.0008906632486854234]"
cd4_mix,t19,base,292,0.6861319022736901,0.0072159465297227336,0.5223972602739726,0.21712020724354797,1.2617633493862148,1.0,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]"
cd4_mix,t19,stack_r10,292,0.5096737748905522,0.004566054423994777,0.5033219178082192,0.20472999347429205,1.0307856400992674,0.32457828521728516,-0.17645812738313799,"[-0.20731858729934566, -0.14585893000047076]",-0.002649892105727958,"[-0.005319820324104148, -0.00030086456768107405]"
cd4_mix,t19,half_stack_r10,292,0.6559925622558019,0.0077275266340932226,0.5198287671232875,0.20952579425687418,1.0811533093838417,0.5736001133918762,-0.030139340017888244,"[-0.03826025043543756, -0.02205402956267947]",0.0005115801043704874,"[-0.00011954181452416105, 0.0012637200603987547]"
cd4_mix,t19,self_r10,292,0.4983994727674999,0.0036268937154094296,0.5025342465753425,0.20433203304607267,1.0677464219739379,0.48277828097343445,-0.18773242950619023,"[-0.22187838346749514, -0.15303835381066705]",-0.0035890528143133053,"[-0.006145357897871452, -0.0011145531582266775]"
