model,uses_context,protocol,direction_id,seed,pooled_mse_vs_null,pearson_median,coverage_targets,n_total_params,n_trainable_params,train_seconds,infer_seconds,peak_rss_bytes,artifact_bytes,calibration_label,context_identifiable,verdict_eligible
gate_G1_src,False,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.9707149195844195,0.16927164712088053,1.0,4,4,0.5745816000271589,0.3803013000288047,666664960,5373,cross_context_within_training,True,False
gate_G2,True,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.9705004437141368,0.16189822577701515,1.0,5,5,1.874450999952387,1.140943399979733,666664960,5369,cross_context_within_training,True,False
gate_G2_perm,True,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.967553464268583,0.16216903206707278,1.0,5,5,2.4300617999979295,1.0854841999826021,666664960,5379,cross_context_within_training,True,False
gate_G2_src,False,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.9709959415920881,0.16563743777588544,1.0,5,5,2.6630485999630764,1.322055199998431,666664960,5373,cross_context_within_training,True,False
gate_G3,True,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.967553464268583,0.16216903206707278,1.0,4,4,1.5045429000165313,1.0673456999938935,666664960,5370,cross_context_within_training,True,False
gate_G3_perm,True,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.9717264364135498,0.16216903206707275,1.0,4,4,1.5646732000168413,1.244880700018257,666664960,5379,cross_context_within_training,True,False
gate_G3_src,False,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.972704318050889,0.16216903206707278,1.0,4,4,1.1966511000064202,0.6254504999960773,666664960,5372,cross_context_within_training,True,False
shrunk_transfer,False,new_context_seen_target,rpe1_hepg2_to_k562,2026,0.9994032625460831,0.114037326092044,1.0,2,2,7.595937400008552,1.1510102999745868,666664960,3770,cross_context_within_training,True,False
lowrank_linear,True,new_context_seen_target,rpe1_hepg2_to_k562,2026,1.1643895412553074,0.0857554142023432,1.0,58824,531,6.148788599995896,0.10688320000190288,666664960,450054,cross_context_within_training,True,False
lowrank_linear_noctx,False,new_context_seen_target,rpe1_hepg2_to_k562,2026,1.2793972540456087,0.0862076497154366,1.0,58491,198,4.638513199985027,0.17777369997929782,666664960,447574,cross_context_within_training,True,False
compact_mlp,True,new_context_seen_target,rpe1_hepg2_to_k562,2026,10.634026118267952,0.06852446136211456,1.0,163365,163365,8.736208999995142,0.12396599998464808,666664960,1257035,cross_context_within_training,True,False
compact_mlp_noctx,False,new_context_seen_target,rpe1_hepg2_to_k562,2026,1.3829661343074107,0.0938015924963157,1.0,162477,162477,7.950970500009134,0.06880299997283146,666664960,1250333,cross_context_within_training,True,False
modular_frozen,True,new_context_seen_target,rpe1_hepg2_to_k562,2026,1.124189933955636,0.08546637044333044,1.0,110733,624,5.098300399957225,0.06699270004173741,666664960,849564,cross_context_within_training,True,False
modular_frozen_noctx,False,new_context_seen_target,rpe1_hepg2_to_k562,2026,1.2004394548585438,0.08902724201697759,1.0,58549,256,7.255586799990851,0.07472029997734353,666664960,448945,cross_context_within_training,True,False
modular_joint,True,new_context_seen_target,rpe1_hepg2_to_k562,2026,1.0702938293188953,0.08840423353161717,1.0,110733,110733,6.278521100000944,0.10854809999000281,666664960,849351,cross_context_within_training,True,False
modular_joint_noctx,False,new_context_seen_target,rpe1_hepg2_to_k562,2026,1.3155147999605052,0.08958375670960501,1.0,110437,110437,9.600259900034871,0.14045419998001307,666664960,846823,cross_context_within_training,True,False
