held_out,predictors,variant,context_weights,targets,pds_proxy,prec_50,prec_200,prec_800,yield_50,yield_200,yield_800,up_50,up_200,up_800,n_conf
orion_hct116,k562+cd4_mix,g0,B,265,0.6823756432246998,0.5041509433962265,0.5082830188679245,0.5102122641509433,0.4114458707327827,0.499103326010676,0.5102122641509433,0.38913207547169815,0.4231320754716981,0.4239716981132075,71.3622641509434
orion_hct116,k562+cd4_mix,g0,C,265,0.668453401943968,0.5029433962264152,0.5082830188679245,0.5092735849056603,0.40722591848243656,0.4986731259116381,0.5092735849056603,0.3958490566037736,0.43309433962264154,0.4310330188679245,73.55471698113207
orion_hct116,k562+cd4_mix,g05,A,265,0.6978559176672384,0.5019622641509435,0.506811320754717,0.5096132075471698,0.41178881257522437,0.4977132792666133,0.5096132075471698,0.3929811320754717,0.4267547169811321,0.4472924528301887,70.70943396226416
orion_hct116,k562+cd4_mix,g05,B,265,0.6884934248141795,0.5064150943396227,0.5096415094339621,0.5100330188679245,0.4134328789713395,0.5004771652174153,0.5100330188679245,0.39139622641509436,0.4250188679245283,0.4450047169811321,71.3622641509434
orion_hct116,k562+cd4_mix,g05,C,265,0.6742424242424242,0.5036981132075471,0.5073396226415094,0.5089716981132075,0.40783484008245524,0.49788615351911514,0.5089716981132075,0.38898113207547175,0.42811320754716975,0.4469905660377358,73.55471698113207
orion_hct116,k562+cd4_mix,shrunk_g1,A,265,0.7110634648370497,0.5296603773584906,0.5150377358490565,0.5103867924528301,0.4347584688002342,0.5054057041133847,0.5103867924528301,0.5115471698113208,0.479,0.46818396226415093,70.70943396226416
orion_hct116,k562+cd4_mix,shrunk_g1,B,265,0.7036735277301315,0.5242264150943396,0.5169433962264152,0.5120188679245283,0.42810659172807736,0.507283241101255,0.5120188679245283,0.5179622641509434,0.48322641509433967,0.46845754716981136,71.3622641509434
orion_hct116,k562+cd4_mix,shrunk_g1,C,265,0.6867924528301886,0.5252830188679246,0.5163207547169811,0.5102594339622641,0.42557184865229297,0.5061058209531399,0.5102594339622641,0.5189433962264152,0.4871886792452831,0.4674952830188679,73.55471698113207
orion_hct116,k562+cd4_mix,consensus1,A,265,0.6983990851915379,0.5006792452830189,0.501943396226415,0.5077169811320754,0.41129976972610494,0.4929167832320442,0.5077169811320754,0.38196226415094336,0.4203962264150943,0.46484433962264154,70.70943396226416
orion_hct116,k562+cd4_mix,consensus1,B,265,0.6897512864493996,0.5118490566037736,0.5102641509433963,0.5102358490566038,0.41847912146274396,0.501142187294816,0.5102358490566038,0.39833962264150946,0.43449056603773584,0.4705471698113207,71.3622641509434
orion_hct116,k562+cd4_mix,consensus1,C,265,0.6771297884505432,0.5073207547169811,0.5059622641509434,0.509,0.41177889818635943,0.4965716715003943,0.509,0.3898867924528302,0.4305283018867925,0.4673254716981132,73.55471698113207
orion_hct116,k562+cd4_mix,consensus2,A,265,0.6981275014293882,0.500754716981132,0.5021698113207547,0.5079716981132075,0.41145884909403324,0.4931287854063105,0.5079716981132075,0.3824150943396226,0.42135849056603775,0.46684433962264155,70.70943396226416
orion_hct116,k562+cd4_mix,consensus2,B,265,0.6899371069182391,0.5118490566037737,0.5103584905660378,0.5103584905660378,0.4185394402915462,0.5012354939017648,0.5103584905660378,0.39871698113207543,0.4355283018867924,0.47245754716981136,71.3622641509434
