held_out,target,pds_proxy_A
cd4_mix,UNK,0.48797250859106533
cd4_mix,UPF3B,0.9965635738831615
cd4_mix,UROS,0.865979381443299
cd4_mix,USP28,0.39518900343642616
cd4_mix,VAPB,0.6563573883161512
cd4_mix,VIM,0.05154639175257736
cd4_mix,WBP4,0.9965635738831615
cd4_mix,YIPF6,0.8247422680412371
cd4_mix,ZBTB34,0.30927835051546393
cd4_mix,ZBTB41,0.36769759450171824
cd4_mix,ZBTB48,1.0
cd4_mix,ZC2HC1A,0.5601374570446735
cd4_mix,ZC3HAV1,0.9759450171821306
cd4_mix,ZDHHC12,0.07216494845360821
cd4_mix,ZDHHC4,0.5257731958762887
cd4_mix,ZFP62,0.831615120274914
cd4_mix,ZHX3,0.27835051546391754
cd4_mix,ZKSCAN1,0.23024054982817865
cd4_mix,ZKSCAN2,0.38144329896907214
cd4_mix,ZKSCAN3,0.6116838487972509
cd4_mix,ZNF16,0.6735395189003437
cd4_mix,ZNF174,0.9965635738831615
cd4_mix,ZNF219,0.17525773195876293
cd4_mix,ZNF22,0.5979381443298969
cd4_mix,ZNF25,0.14432989690721654
cd4_mix,ZNF251,0.49828178694158076
cd4_mix,ZNF280C,0.7835051546391752
cd4_mix,ZNF282,0.2714776632302406
cd4_mix,ZNF32,0.13745704467353947
cd4_mix,ZNF324,0.5463917525773196
cd4_mix,ZNF397,0.8625429553264605
cd4_mix,ZNF410,0.9587628865979382
cd4_mix,ZNF444,0.8041237113402062
cd4_mix,ZNF462,0.9690721649484536
cd4_mix,ZNF496,0.07216494845360821
cd4_mix,ZNF507,1.0
cd4_mix,ZNF514,0.8762886597938144
cd4_mix,ZNF526,0.39862542955326463
cd4_mix,ZNF530,0.8213058419243986
cd4_mix,ZNF543,0.7216494845360825
cd4_mix,ZNF627,0.6804123711340206
cd4_mix,ZNF628,0.9243986254295533
cd4_mix,ZNF641,0.604810996563574
cd4_mix,ZNF670,0.281786941580756
cd4_mix,ZNF714,0.7010309278350515
cd4_mix,ZNF740,0.47079037800687284
cd4_mix,ZNF768,0.25773195876288657
cd4_mix,ZNF777,0.9381443298969072
cd4_mix,ZNF783,0.2989690721649485
cd4_mix,ZNF784,0.2508591065292096
cd4_mix,ZNF786,0.281786941580756
cd4_mix,ZNF821,0.9347079037800687
cd4_mix,ZRANB3,0.9347079037800687
orion_hct116,ACLY,1.0
orion_hct116,ADNP,0.9583333333333334
orion_hct116,AGO1,0.48484848484848486
orion_hct116,AKAP1,0.9924242424242424
orion_hct116,AKIRIN1,0.7954545454545454
orion_hct116,AKT2,0.7992424242424243
orion_hct116,ALG12,0.6628787878787878
orion_hct116,ANKZF1,1.0
orion_hct116,ANP32B,0.9621212121212122
orion_hct116,AP2A2,0.6325757575757576
orion_hct116,API5,0.9696969696969697
orion_hct116,ARL14EP,0.7045454545454546
