target,metric,matched,mismatched_median,discrimination
C5orf22,raw_pearson,0.120593077589425,0.002374772303888332,1.0
CARM1,raw_pearson,0.023429188815492014,0.006499408746759144,0.8166666666666667
CHD3,raw_pearson,0.018004834481023763,0.007569570397631798,0.7333333333333333
COIL,raw_pearson,0.046757639190051936,-0.007700301255734134,0.9333333333333333
CYTH2,raw_pearson,0.001236676800137351,0.006266053933951438,0.43333333333333335
DCP2,raw_pearson,-0.05352103429478745,0.005034280625846388,0.06666666666666667
DEK,raw_pearson,-0.003141521000455745,-0.00016322940167439462,0.43333333333333335
DTNBP1,raw_pearson,0.02553591567543863,-0.004630292162780001,0.8333333333333334
ELK1,raw_pearson,0.032768699390674484,0.0010152192789449515,0.8833333333333333
EPC2,raw_pearson,0.0852263693570385,0.0018304307357093611,1.0
EZH2,raw_pearson,0.0170235892693697,0.0030676403945359637,0.6666666666666666
FCGRT,raw_pearson,-0.008933075033508675,0.006208883449607343,0.25
GTF2IRD1,raw_pearson,-0.007341933922198476,0.004848126171237702,0.36666666666666664
HMGXB3,raw_pearson,0.10486615409656867,-0.002282419721662628,1.0
KMT2A,raw_pearson,0.12365411806273541,0.006985929236677101,1.0
LDLR,raw_pearson,0.04836569263209804,-0.0005466535315653694,0.9833333333333333
LENG1,raw_pearson,0.05199093326742758,-3.9362818614289325e-05,0.9833333333333333
LPCAT3,raw_pearson,-0.029746986598737417,-0.003195726551569931,0.06666666666666667
MAP2K2,raw_pearson,0.009724569957362712,0.0010439204531974122,0.6833333333333333
MSANTD4,raw_pearson,0.020268895549608992,-4.513610424983542e-05,0.6666666666666666
MTF1,raw_pearson,0.2284636108016188,0.006146255603357348,1.0
MYPOP,raw_pearson,0.05280128069836745,0.0024694318042479124,0.95
NAIF1,raw_pearson,0.04906044600524306,0.0060433159938547,0.9
PAN2,raw_pearson,-0.0018793231421211718,0.0032798776852386337,0.43333333333333335
PHF19,raw_pearson,-0.07120046485901964,-0.0015108312641562084,0.0
PHF23,raw_pearson,0.1989086339813715,-0.008142165305397901,1.0
PIN1,raw_pearson,0.024660727803708326,-0.006118658851792192,0.8666666666666667
PPIF,raw_pearson,-0.0012292999028922652,0.0009837257759869335,0.45
PRMT7,raw_pearson,0.05422928277473784,0.005162995190368702,1.0
PRNP,raw_pearson,-0.027890699993391083,0.004880663821050952,0.1
PSKH1,raw_pearson,-0.003986948726407581,-0.0017667568380098533,0.43333333333333335
RABEP2,raw_pearson,-0.027125673970225993,-0.007380126711745139,0.2
RBM26,raw_pearson,0.14970848761917174,0.007549070847893542,1.0
RFK,raw_pearson,0.008744826446085357,0.013234018070297709,0.45
RNF141,raw_pearson,-0.004586030783996504,0.0010104832429781439,0.38333333333333336
SH2D3A,raw_pearson,-0.033452522734039654,-0.011859478752474837,0.11666666666666667
SMARCA5,raw_pearson,0.03235498022748067,0.0070306358180886735,0.7833333333333333
STT3A,raw_pearson,0.033255689624577,-0.0031673859554425124,0.9166666666666666
TARBP2,raw_pearson,-0.005922319861076148,-0.0018823622509375922,0.36666666666666664
