target,class,cosine,energy_k562,energy_cd4_mix,cells_k562,cells_cd4_mix
SFT2D3,other,-0.0181473,46.8964,15.5225,288,4425
SFXN1,other,0.0296281,105.972,29.3205,129,2391
SFXN2,other,-0.00155368,66.4023,14.8065,197,1769
SFXN5,other,-0.00697882,76.0158,21.3367,165,1866
SGK1,other,0.011196,95.1002,15.544,142,2326
SGK3,other,-0.00622265,50.1439,61.5906,275,654
SGMS1,other,-0.00789275,96.3459,20.1322,129,1659
SGO1,other,0.0121047,155.419,76.6151,84,222
SGO2,other,0.0686881,58.6802,20.9686,262,1491
SGPL1,other,0.000663307,124.038,26.8228,108,2691
SGPP1,other,-0.0151122,36.509,25.3739,348,2101
SGSH,other,0.00428262,89.0924,38.9812,143,5191
SGSM2,other,-0.00209849,55.4918,25.5411,237,1349
SGSM3,other,0.0196603,89.3662,27.2273,149,2026
SGTA,other,0.0344974,101.017,25.7192,122,1042
SGTB,other,0.0371755,61.0082,19.846,206,1222
SH2B1,other,0.00789558,82.128,18.15,169,1919
SH2B3,other,-0.0134664,41.6813,22.1496,308,2101
SH2D2A,other,-0.00359491,37.6324,27.7133,334,2913
SH3BGR,other,0.021314,50.1757,23.7513,280,929
SH3BGRL,other,0.0139825,127.814,33.0073,103,1099
SH3BGRL2,other,0.00970859,96.6955,17.0122,132,3476
SH3BGRL3,other,-0.00229021,249.628,18.5288,60,1435
SH3BP1,other,0.00375301,325.213,44.1434,44,498
SH3BP2,other,-0.000201327,42.3756,36.9706,305,2566
SH3BP5,other,7.09814e-05,64.5119,37.0611,215,458
SH3BP5L,other,-0.0260852,59.3805,15.4018,223,1819
SH3GL1,other,-0.0199149,73.6046,62.6754,213,487
SH3GLB1,other,-0.0178831,23.0816,12.3195,521,2847
SH3GLB2,other,0.000453482,112.328,56.3752,140,308
SH3KBP1,other,0.0245794,178.66,18.2136,128,3688
SHARPIN,other,0.0243915,47.8107,38.5063,287,1012
SHC1,other,-0.0100462,57.8873,33.8959,394,1575
SHCBP1,other,0.00190486,71.3417,20.9726,173,1256
SHFL,other,-0.0033804,81.878,32.7695,166,1821
SHISA5,other,0.0268365,59.8499,14.3803,204,1566
SHKBP1,other,0.0349891,81.5166,31.3411,157,1443
SHLD1,other,0.063818,59.8751,37.5705,209,6194
SHLD2,other,-0.0220974,149.317,31.4412,103,2670
SHMT1,other,-0.00698361,57.9211,20.2075,215,4003
SHMT2,other,0.0219593,290.755,36.6796,55,1571
SHOC2,other,0.01924,94.6936,48.6997,267,1878
SHOX,other,0.0143438,102.031,29.2629,126,850
SHOX2,other,0.0228809,40.2612,27.5331,352,2071
SHPK,other,-0.0252668,119.428,20.3961,144,1686
SHQ1,other,-0.0233295,50.0196,96.9911,242,321
SHROOM1,other,0.0183654,34.7769,12.3126,360,2006
SIAH1,other,0.0448841,147.218,22.2532,90,3624
SIAH2,other,-0.0233177,100.31,19.8278,147,1684
SIGIRR,other,0.0161514,49.9256,16.6779,264,2471
SIGLEC14,other,-0.0117949,64.1793,30.2309,264,1328
SIGMAR1,other,-0.00168067,620.86,10.4564,32,2893
SIK3,other,0.0128511,71.1303,72.9407,182,998
SIKE1,other,0.00496795,170.544,25.2258,79,3121
SIL1,other,0.0197991,64.3313,34.986,222,530
SIM1,other,-0.00890064,83.6493,50.021,155,335
SIM2,other,0.00637147,78.7957,15.7184,156,2026
SIMC1,other,0.00914588,11.4396,24.1294,1170,1890
SIN3A,other,0.139134,49.2162,28.9842,478,1793
SINHCAF,other,0.0959023,240.835,36.8388,69,1809
SIPA1,other,0.00132487,53.1873,24.3666,270,3002
SIRT1,other,0.0186735,75.4908,50.3243,180,492
SIRT2,other,0.0122314,78.8394,28.4095,153,1621
SIRT3,other,0.048033,79.1573,17.1361,161,2669
SIRT5,other,-0.0276574,88.191,29.7273,154,1810
SIRT6,other,0.0278957,102.097,25.3889,126,2537
SIRT7,other,-0.0840675,476.496,102.807,81,1882
SIVA1,other,-0.0272331,103.055,46.1262,126,3238
SIX1,other,0.0303784,60.1965,19.513,196,1334
SIX2,other,0.0516194,61.9081,23.4827,206,2662
SIX3,other,0.0256466,104.804,24.8943,134,1643
SIX4,other,0.0354393,53.6374,19.9672,239,1083
SIX5,other,-0.00392466,44.7049,24.967,294,1031
SIX6,other,-0.00742059,53.2986,15.6914,258,1711
SKA1,other,-0.000104625,123.051,22.862,112,768
SKA2,other,0.0265571,227.495,42.2092,67,1883
SKA3,other,0.0855072,113.714,56.5608,139,511
SKAP2,other,0.0338481,54.7634,57.2228,224,1260
SKI,other,0.0632123,59.1423,18.6458,235,3240
SKIL,other,-0.0465234,74.2176,25.5302,234,2051
SKOR1,other,0.000934172,44.8972,17.3515,275,1222
SKOR2,other,-0.000500765,53.5558,17.135,227,3059
SKP2,other,0.0380761,41.0054,19.8105,381,1674
SLAIN2,other,-0.0101148,54.5269,17.9471,237,1890
SLC10A3,other,-0.0383982,162.625,18.2981,85,1547
SLC10A7,other,0.00444379,52.0835,43.5715,256,568
SLC11A2,other,0.0315429,32.3812,38.7576,390,806
SLC12A2,other,0.0335453,58.6655,27.2707,228,3007
SLC12A4,other,-0.0359693,102.298,19.3911,124,1723
SLC12A7,other,-0.0305977,340.372,22.513,51,1052
SLC12A9,other,0.00966915,48.2776,26.344,262,2191
SLC15A4,other,0.0284876,155.069,37.4581,90,810
SLC16A1,other,0.00234585,55.2383,30.6002,233,839
SLC16A5,other,-0.0136049,40.1663,30.648,397,1280
SLC17A5,other,-0.0276801,198.611,34.1332,67,1292
SLC18B1,other,-0.0358269,45.6715,25.5625,285,1378
SLC19A1,other,0.00825009,81.8654,10.7951,156,2871
SLC19A2,other,0.00417389,86.6533,48.6361,152,3031
SLC1A4,other,-0.0232373,57.6766,18.3947,217,1165
SLC1A5,other,-0.072222,21.8876,23.2381,870,3906
SLC20A1,other,3.70263e-05,45.1664,26.6059,284,1550
SLC22A23,other,-0.000476254,834.369,19.6602,23,1135
SLC25A1,other,-0.0200267,62.1067,28.3228,208,1827
SLC25A10,other,0.132478,54.3537,43.0242,472,723
SLC25A11,other,0.0173041,106.623,20.9885,125,3978
SLC25A12,other,0.0209679,55.4062,15.048,231,1785
SLC25A14,other,0.0105648,60.4043,13.3196,219,3006
SLC25A15,other,0.0340436,119.104,27.7432,114,1147
SLC25A16,other,-0.00112476,65.1713,31.0016,196,2056
SLC25A17,other,0.00360348,63.8492,22.308,193,1393
SLC25A19,other,-0.0065364,99.5081,20.7395,137,2030
SLC25A20,other,0.00971447,57.434,15.3291,234,2110
SLC25A22,other,0.00439525,99.5157,83.6036,130,383
SLC25A23,other,0.00595334,45.5382,15.3169,288,2156
SLC25A24,other,-0.019675,56.3487,28.1897,212,2195
SLC25A25,other,0.0157055,71.0183,34.1553,197,515
