target,pathway,mean_r,median_r,mean_delta_r,min_delta_r,positive_contexts,mean_delta_sign
COPS4,INS,0.004403697012645084,0.005151194847415,0.0025938687989453843,-0.055356785951809095,3,-0.016666666666666663
AKT1,TGFB1,0.02863989507468773,0.03337529291189625,0.0025355333219997493,-0.0466083725616394,5,0.008333333333333323
SMAD9,TGFB1,0.023856579650688003,0.0125567627490885,0.002148624761198085,-0.049107467066620294,3,0.03000000000000001
CASP7,TNFA,0.024984343972938947,0.0169971532414579,0.002097870201659951,-0.0256932342269297,3,-0.003333333333333336
SOX9,TNFA,-0.007481537692987369,0.0110697609952513,0.002027940726513166,-0.06559262146462891,3,-0.05833333333333334
MAFB,IFNG,0.01596161354366647,0.01301645458119435,0.001614513840041717,-0.0178247572294384,4,0.00833333333333334
HES4,IFNB,0.02462733659648007,0.03299974874111185,0.0015856243930600829,-0.0345630718382022,3,-0.001666666666666668
IKBKB,INS,0.00427962479180585,0.00698853450459925,0.0012864406850568004,-0.0854361189603487,4,-0.02833333333333334
HLX,IFNG,-0.0006600782872563836,0.0032593535397571005,0.0011208508480640338,-0.0576253470843658,5,-0.026666666666666644
CEBPB,TNFA,0.01306396212953355,-0.001481171652192,0.0009927274411292198,-0.0721076810886576,4,0.0
PARP12,IFNG,0.009248222991282133,0.00838893910939105,0.0007140775448263673,-0.049327888102257196,4,0.014999999999999977
CASP8,TNFA,-0.016489516712254917,-0.0129862462153037,0.000428834512600583,-0.0476957091009197,2,0.011666666666666667
INSR,INS,0.004348204639158166,0.0070683759638353,5.0435927673549964e-05,-0.0269061844757782,3,0.0
RFX5,IFNG,0.005701233354914216,0.010320560498399701,-0.0002555119196501167,-0.018658733725404202,4,0.01833333333333334
PIK3CA,INS,0.026355346776163368,0.04142836115135545,-0.0006198145393388326,-0.0477606778567007,2,-0.0050000000000000044
FMNL2,IFNG,0.013040790922457466,0.01495508895037445,-0.0006730009744808837,-0.0341829913611289,4,0.010000000000000018
RHOA,TGFB1,-0.0037334520269516505,0.00017185579902524901,-0.0007692332403691817,-0.0544745414491596,4,0.038333333333333296
STAT6,IFNB,0.0200932026046805,0.022029624744666697,-0.0009301249587837836,-0.034576569983739,3,0.0016666666666666496
CUL1,TGFB1,0.013001765134561,0.011584000641389449,-0.000996395190859367,-0.0310684581123353,2,-0.04500000000000002
TBX21,IFNG,0.009051072445035084,0.0017746463087180999,-0.001405755044808315,-0.056813063538667,3,0.013333333333333327
POU2F1,IFNB,0.03440321773794275,0.0286036557949454,-0.0014331572829240334,-0.043832274317247996,3,-0.0066666666666666445
RELA,TGFB1,0.00907090083496785,0.0037215649044626,-0.0019751619018429,-0.0167119992877495,3,-0.0016666666666666774
RUNX1,TGFB1,0.022835286495862,0.02287655682978115,-0.002806274541516333,-0.0348110558341682,4,-0.0033333333333333457
CASP3,TNFA,0.012466907719074867,0.0036508672781522004,-0.00289941044881265,-0.0398795246655196,4,0.01999999999999999
CEBPB,IFNB,0.025028455067681584,0.02239456578759015,-0.002965537568328101,-0.0412447712588513,3,0.004999999999999981
SMAD3,TGFB1,0.0041918624816242,0.00922987015920735,-0.002977948723014817,-0.0263213667405588,4,-0.020000000000000018
