held_out,arm,target,pds
k562,common,ZNF740,0.8892988929889298
k562,common,ZNF768,0.4907749077490775
k562,common,ZNF777,0.02583025830258301
k562,common,ZNF783,0.22140221402214022
k562,common,ZNF784,0.3948339483394834
k562,common,ZNF786,0.8376383763837638
k562,common,ZNF821,0.2841328413284133
k562,common,ZRANB3,0.6900369003690037
k562,cis,ACLY,0.5
k562,cis,ADNP,0.5
k562,cis,AGO1,0.5
k562,cis,AKAP1,0.5
k562,cis,AKIRIN1,0.5
k562,cis,AKT2,0.5
k562,cis,ALG12,1.0
k562,cis,ANKRD52,0.5
k562,cis,ANKZF1,1.0
k562,cis,ANP32B,0.5
k562,cis,AP2A2,0.5
k562,cis,API5,0.5
k562,cis,ARL14EP,0.5
k562,cis,ASCC2,0.5
k562,cis,BCKDK,0.5
k562,cis,BCL6,0.5
k562,cis,BCL7C,0.5
k562,cis,BRD1,0.5
k562,cis,BRPF1,0.5
k562,cis,C5orf22,1.0
k562,cis,CAND1,0.5
k562,cis,CARM1,0.5
k562,cis,CAT,0.5
k562,cis,CCDC112,0.5
k562,cis,CDK8,0.5
k562,cis,CHD3,0.996309963099631
k562,cis,CHD6,0.5
k562,cis,CHKB,0.5
k562,cis,CLCN6,0.6420664206642066
k562,cis,COIL,0.5
k562,cis,COMMD8,0.5
k562,cis,COQ10B,0.5
k562,cis,CSNK2A1,0.5
k562,cis,CYTH2,0.5
k562,cis,DBF4B,0.5
k562,cis,DBN1,0.5
k562,cis,DCAF16,1.0
k562,cis,DCP2,0.5
k562,cis,DDHD1,0.5
k562,cis,DEAF1,0.5
k562,cis,DEK,0.5
k562,cis,DHRS1,1.0
k562,cis,DHX35,0.5
k562,cis,DLAT,0.5
k562,cis,DMTF1,0.5
k562,cis,DNTTIP1,0.5
k562,cis,DRG2,0.5
k562,cis,DTNBP1,0.5
k562,cis,DVL3,0.5
k562,cis,E2F1,0.5
k562,cis,E2F4,0.5
k562,cis,EAPP,0.5
k562,cis,EEF1A2,0.5
k562,cis,ELK1,0.5
k562,cis,EPC2,0.5
k562,cis,EPM2AIP1,1.0
k562,cis,EZH2,0.5
k562,cis,FAM120A,1.0
k562,cis,FCGRT,0.5
k562,cis,FHL3,1.0
k562,cis,FOXN2,0.5
k562,cis,FOXO4,0.5
k562,cis,FUBP3,0.5
k562,cis,FXYD5,0.5
k562,cis,FZD2,0.5
k562,cis,GIGYF2,0.5
k562,cis,GLI3,0.5
k562,cis,GLYR1,1.0
k562,cis,GMEB2,0.5
k562,cis,GPATCH8,0.5
k562,cis,GRAMD1A,0.5
k562,cis,GTF2IRD1,0.5
k562,cis,HDAC1,0.5
k562,cis,HDAC8,0.5
k562,cis,HMGN3,0.5
k562,cis,HMGN4,0.5
k562,cis,HMGXB3,0.5
k562,cis,HOMEZ,0.8523985239852399
k562,cis,HSBP1,0.5
k562,cis,HSP90AB1,0.5
k562,cis,IFI27L2,0.5
k562,cis,IFNAR2,0.5
k562,cis,IFNGR2,0.5
k562,cis,IL10RB,0.5
k562,cis,IREB2,0.5
k562,cis,KDM5A,0.977859778597786
k562,cis,KHDRBS1,0.5
k562,cis,KHSRP,0.5
k562,cis,KIF2A,0.5
k562,cis,KMT2A,0.5
k562,cis,LDLR,0.5
k562,cis,LENG1,0.5
k562,cis,LMAN1,0.5
k562,cis,LMBRD2,1.0
k562,cis,LPCAT3,0.5
k562,cis,MAN2A1,0.5
k562,cis,MAP2K2,0.5
k562,cis,MAPK12,0.5
k562,cis,MARCKSL1,0.5
k562,cis,MBD4,0.5
k562,cis,MED13,0.5
k562,cis,MED15,1.0
k562,cis,MED25,0.5
k562,cis,MLLT10,0.5
k562,cis,MSANTD4,0.5
k562,cis,MSI2,0.5
k562,cis,MTA1,0.5
k562,cis,MTF1,0.5
k562,cis,MTHFSD,0.5
k562,cis,MTM1,0.5
k562,cis,MYD88,1.0
k562,cis,MYPOP,0.5
k562,cis,MYRF,0.5
k562,cis,NABP2,1.0
k562,cis,NAIF1,0.5
k562,cis,NCLN,0.5
k562,cis,NFE2L1,0.5
k562,cis,NGLY1,0.5
