target,rows,guides,donors,conditions,cells
TRPC4AP,24,2,4,3,2548.0
TTBK2,24,2,4,3,1399.0
TWF2,24,2,4,3,4219.0
TXNDC16,24,2,4,3,2856.0
UNK,24,2,4,3,967.0
UPF3B,15,2,4,3,215.0
UROS,24,2,4,3,727.0
USP28,24,2,4,3,3816.0
VAPB,24,2,4,3,2871.0
VIM,24,2,4,3,12395.0
WBP4,24,2,4,3,605.0
YIPF6,24,2,4,3,1744.0
ZBTB34,24,2,4,3,790.0
ZBTB41,24,2,4,3,2804.0
ZBTB48,24,2,4,3,2539.0
ZC2HC1A,23,2,4,3,1073.0
ZC3HAV1,24,2,4,3,4504.0
ZDHHC12,23,2,4,3,420.0
ZDHHC4,24,2,4,3,884.0
ZFP62,24,2,4,3,1619.0
ZHX3,23,2,4,3,867.0
ZKSCAN1,20,2,4,3,1748.0
ZKSCAN2,24,2,4,3,981.0
ZKSCAN3,23,2,4,3,605.0
ZNF16,22,2,4,3,1943.0
ZNF174,24,2,4,3,3310.0
ZNF219,23,2,4,3,378.0
ZNF22,23,2,4,3,1704.0
ZNF25,14,2,4,3,3344.0
ZNF251,24,2,4,3,2483.0
ZNF280C,24,2,4,3,2716.0
ZNF282,24,2,4,3,3293.0
ZNF32,24,2,4,3,1288.0
ZNF324,21,2,4,3,1628.0
ZNF397,23,2,4,3,955.0
ZNF410,24,2,4,3,3553.0
ZNF444,24,2,4,3,2842.0
ZNF462,24,2,4,3,1788.0
ZNF496,24,2,4,3,2668.0
ZNF507,21,2,4,3,1474.0
ZNF514,24,2,4,3,3702.0
ZNF526,24,2,4,3,967.0
ZNF530,23,2,4,3,1770.0
ZNF543,24,2,4,3,1325.0
ZNF627,24,2,4,3,3217.0
ZNF628,23,2,4,3,615.0
ZNF641,22,2,4,3,2185.0
ZNF670,22,2,4,3,944.0
ZNF714,24,2,4,3,1815.0
ZNF740,20,2,4,3,1044.0
ZNF768,23,2,4,3,611.0
ZNF777,24,2,4,3,1802.0
ZNF783,18,2,4,3,1881.0
ZNF784,22,2,4,3,2919.0
ZNF786,24,2,4,3,1080.0
ZNF821,24,2,4,3,873.0
ZRANB3,24,2,4,3,1361.0
