held_out,shape,arm,targets,pds_proxy,reach_proxy,prec_200,yield_200,mse_ratio,pds_minus_base,pds_minus_base_ci95,pds_minus_base_nb_targets,reach_minus_base,reach_minus_base_ci95,reach_minus_base_nb_targets,pairs,pairs_measured,targets_with_pair
k562,t19,cis_med_add1_5kb,271,0.778406450731174,0.10556594036801357,0.5341328413284133,0.5334712323657533,1.082128623919265,0.0015443487768211023,"[0.0005603389367227015, 0.0027470274702747037]",0.00615468409586057,0.0,"[0.0, 0.0]",0.0,69.0,62.0,68.0
k562,t19,cis_med_add2_5kb,271,0.779363126964603,0.10578354221180611,0.5341328413284133,0.5334712323657533,1.0823210059162685,0.002501025010250103,"[0.0009566762334290016, 0.00425071750717507]",0.009967320261437911,0.0002176018437925243,"[0.0, 0.0005669907197410844]",0.0008672073480555012,69.0,62.0,68.0
k562,t19,cis_med_add4_5kb,271,0.7807981413147466,0.10578354221180611,0.5341328413284133,0.5334712323657533,1.082973224981422,0.003936039360393604,"[0.0013663386633866346, 0.007271081044143772]",0.015686274509803918,0.0002176018437925243,"[0.0, 0.0005669907197410844]",0.0008672073480555012,69.0,62.0,68.0
k562,t19,cis_mean_add1_5kb,271,0.7791581249145825,0.10578354221180611,0.5341328413284133,0.5334712323657533,1.0822690358589557,0.0022960229602296033,"[0.0008883422167555015, 0.004031706983736505]",0.009150326797385625,0.0002176018437925243,"[0.0, 0.0005669907197410844]",0.0008672073480555012,69.0,62.0,68.0
k562,t19,cis_mean_add2_5kb,271,0.7806204728713954,0.10578354221180611,0.5341328413284133,0.5334712323657533,1.0827816057950073,0.0037583709170425023,"[0.0015443487768211, 0.006601407680743471]",0.014978213507625267,0.0002176018437925243,"[0.0, 0.0006068333108580255]",0.0008672073480555012,69.0,62.0,68.0
k562,t19,cis_meas_5kb,271,0.7752220855541889,0.10544690691961459,0.5341143911439115,0.5334527821812515,1.0819281369937996,-0.001640016400164002,"[-0.003007038403717371, -0.0005876725433921021]",-0.006535947712418302,-0.00011903344839900011,"[-0.00035710034519700033, 0.0]",-0.0004743833017077799,69.0,62.0,68.0
k562,t19,cis_shuffled_5kb,271,0.7766981003143364,0.10556594036801357,0.5340959409594096,0.5334343319967496,1.0821833084153658,-0.00016400164001639916,"[-0.0007516741834085, 0.0003690036900369015]",-0.0006535947712418261,0.0,"[0.0, 0.0]",0.0,69.0,62.0,68.0
cd4_mix,t16,base,292,0.6718683801722921,0.004712062324905056,0.5160102739726027,0.2127481868273892,1.4273271645513714,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,,,
cd4_mix,t16,cis_med_add1_2kb,292,0.6753636492020901,0.004750869053788876,0.5161815068493151,0.2128356520091975,1.427145709927479,0.0034952690297980517,"[0.0020003648260603496, 0.005178176340441558]",0.013608247422680414,3.880672888381995e-05,"[7.472789368698093e-06, 8.082016081605817e-05]",0.00015108753112100568,60.0,54.0,60.0
cd4_mix,t16,cis_med_add2_2kb,292,0.6782351833545168,0.004822784578635827,0.5161815068493151,0.2128356520091975,1.42712512721881,0.006366803182224734,"[0.003718872099044393, 0.009320717412794803]",0.0247880870561283,0.00011072225373077124,"[5.2224562662859434e-05, 0.00017814860778599966]",0.0004310786411918027,60.0,54.0,60.0
cd4_mix,t16,cis_med_add4_2kb,292,0.6835781198512451,0.004826559865982386,0.5161815068493151,0.2128356520091975,1.4275665776272923,0.011709739678953068,"[0.006625123570117214, 0.01764139951984183]",0.045589919816723945,0.0001144975410773294,"[4.945065894721159e-05, 0.0001869455128897853]",0.00044577709326106923,60.0,54.0,60.0
cd4_mix,t16,cis_mean_add1_2kb,292,0.6774113825730829,0.004816092323432279,0.5161815068493151,0.2128356520091975,1.4271042823848212,0.005543002400790849,"[0.0031775172998164125, 0.00823800781433884]",0.021580756013745706,0.00010402999852722262,"[4.6651334233392534e-05, 0.00017082455590659694]",0.00040502346093265333,60.0,54.0,60.0
cd4_mix,t16,cis_mean_add2_2kb,292,0.6818716753754178,0.004819304235613219,0.5161815068493151,0.2128356520091975,1.4273522569007409,0.010003295203125737,"[0.0056371510615261505, 0.01501729981641011]",0.038946162657502864,0.00010724191070816292,"[4.489654534827597e-05, 0.00017494261022056348]",0.0004175285056904477,60.0,54.0,60.0
