held_out,target,pds_raw,pds_zk64,gain_zk64,predictor_sources,predictor_cells,predictor_max_abs_z
k562,ZNF530,0.4703703703703703,0.3851851851851852,-0.08518518518518514,3,2351.0,7.722411155700684
k562,ZNF543,0.837037037037037,0.13703703703703707,-0.7,3,1503.0,4.607771396636963
k562,ZNF627,0.8407407407407408,0.7074074074074075,-0.1333333333333333,3,4218.0,11.059776306152344
k562,ZNF628,0.962962962962963,0.7333333333333334,-0.22962962962962963,2,654.0,4.900018692016602
k562,ZNF641,0.6888888888888889,0.25555555555555554,-0.43333333333333335,3,2423.0,7.381576061248779
k562,ZNF670,0.4444444444444444,0.6703703703703704,0.22592592592592597,3,1200.0,10.160428047180176
k562,ZNF714,0.9851851851851852,0.9962962962962963,0.011111111111111183,3,2165.0,7.142824649810791
k562,ZNF740,0.9851851851851852,0.9925925925925926,0.007407407407407418,3,1246.0,7.587243556976318
k562,ZNF768,0.33333333333333337,0.23333333333333328,-0.10000000000000009,3,1313.0,5.942983627319336
k562,ZNF777,0.9,0.9962962962962963,0.09629629629629632,3,2551.0,13.277901649475098
k562,ZNF783,0.1962962962962963,0.12592592592592589,-0.07037037037037042,3,2365.0,5.121849060058594
k562,ZNF784,0.4925925925925926,0.737037037037037,0.24444444444444446,3,2998.0,8.280313491821289
k562,ZNF786,0.007407407407407418,0.11851851851851847,0.11111111111111105,3,1216.0,7.3466477394104
k562,ZNF821,0.5518518518518518,0.9962962962962963,0.44444444444444453,3,1226.0,11.60508918762207
k562,ZRANB3,0.8851851851851852,0.5,-0.3851851851851852,1,1361.0,0.0
cd4_mix,ACLY,1.0,1.0,0.0,3,396.0,21.88681411743164
cd4_mix,ADNP,1.0,1.0,0.0,3,954.0,10.520176887512207
cd4_mix,AGO1,0.2680412371134021,0.5773195876288659,0.3092783505154638,3,545.0,10.356743812561035
cd4_mix,AKAP1,0.6494845360824743,0.5189003436426116,-0.13058419243986263,3,196.0,9.340867042541504
cd4_mix,AKIRIN1,0.570446735395189,0.42611683848797255,-0.14432989690721643,2,137.0,16.355283737182617
cd4_mix,AKT2,1.0,1.0,0.0,3,387.0,11.490530014038086
cd4_mix,ALG12,0.8178694158075601,1.0,0.18213058419243988,3,505.0,6.643861770629883
cd4_mix,ANKRD52,0.24398625429553267,0.8487972508591065,0.6048109965635738,1,13.0,5.66646671295166
cd4_mix,ANKZF1,1.0,1.0,0.0,3,634.0,7.049819469451904
cd4_mix,ANP32B,0.7147766323024055,0.9759450171821306,0.26116838487972505,3,679.0,37.20216751098633
cd4_mix,AP2A2,0.5326460481099656,0.5326460481099656,0.0,3,635.0,8.715591430664062
cd4_mix,API5,0.979381443298969,0.9725085910652921,-0.0068728522336769515,3,558.0,8.621770858764648
cd4_mix,ARL14EP,0.5532646048109966,0.7285223367697595,0.17525773195876293,3,465.0,12.203445434570312
cd4_mix,ASCC2,0.45704467353951894,0.7731958762886598,0.3161512027491409,3,529.0,10.354939460754395
cd4_mix,BCKDK,0.3264604810996563,0.4020618556701031,0.0756013745704468,3,338.0,9.502679824829102
cd4_mix,BCL6,0.9690721649484536,0.5360824742268041,-0.4329896907216495,3,626.0,8.539198875427246
cd4_mix,BCL7C,0.9072164948453608,0.9965635738831615,0.0893470790378007,3,336.0,8.440054893493652
cd4_mix,BRD1,0.35051546391752575,0.4914089347079038,0.14089347079037806,2,268.0,11.211104393005371
cd4_mix,BRPF1,1.0,1.0,0.0,3,522.0,8.003509521484375
cd4_mix,CAND1,0.9106529209621993,1.0,0.0893470790378007,3,354.0,22.348365783691406
