held_out,shape,arm,targets,pds_proxy,reach_proxy,prec_200,yield_200,mse_ratio,pds_minus_base,pds_minus_base_ci95,pds_minus_base_nb_targets,reach_minus_base,reach_minus_base_ci95,reach_minus_base_nb_targets
orion_hct116,t16,cis_shuffled_5kb,265,0.6951114922813035,0.036792859802304526,0.5060188679245283,0.4960616262127169,1.2154899818240408,0.0002572898799313887,"[-0.0007861635220125788, 0.0012296312178387628]",0.0010176390773405674,0.0,"[0.0, 0.0]",0.0
orion_hct116,t16,cis_replace_10kb,265,0.689794168096055,0.036670870506344475,0.5058490566037737,0.49587160527036034,1.2153865674529547,-0.005060034305317324,"[-0.009521154945683242, -0.0014711978273299064]",-0.019052464947987333,-0.00012198929596005615,"[-0.0004297749080434579, 0.00018990909957471616]",-0.0001598800876438901
orion_hct116,t16,cis_min_10kb,265,0.6953116066323614,0.036951317696611474,0.5059433962264152,0.4959659448930018,1.2154025454842259,0.0004574042309891375,"[0.00014258147512864446, 0.0009291023441966855]",0.001582994120307555,0.0001584578943069508,"[0.0, 0.00038552642326227215]",0.0006267364476319696
orion_hct116,t16,cis_fill_10kb,265,0.6948542024013722,0.036792859802304526,0.5058679245283019,0.4958904731948886,1.21537719902033,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0
orion_hct116,t16,cis_add_10kb,265,0.698327615780446,0.037015276762809114,0.5059245283018867,0.49594707696847345,1.2156049168755427,0.003473413379073759,"[0.0018578473413379084, 0.005346269296740998]",0.013003165988240625,0.00022241696050458434,"[0.0, 0.0005134445556575391]",0.0008797088736375349
orion_hct116,t16,cis_shuffled_10kb,265,0.6946255002858776,0.036792859802304526,0.5058301886792453,0.49586154237727853,1.2155451153346801,-0.00022870211549456729,"[-0.0005006432246998295, 5.7175528873643705e-05]",-0.0008480325644504708,0.0,"[0.0, 0.0]",0.0
orion_hct116,t19,base,265,0.7058747855917668,0.04756018786849057,0.5154528301886793,0.5047348281521941,1.2584694400889163,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0
orion_hct116,t19,cis_replace_2kb,265,0.6978273299028016,0.047373974814839626,0.5154528301886793,0.5047348281521941,1.258060858427239,-0.008047455688965123,"[-0.013479130931961118, -0.0030588907947398524]",-0.03182948891904116,-0.0001862130536509485,"[-0.0004623493562183602, 7.173330569094791e-05]",-0.0007365143166791246
orion_hct116,t19,cis_min_2kb,265,0.7062607204116639,0.04762879850313895,0.5154528301886793,0.5047348281521941,1.2584870791759812,0.0003859348198970837,"[4.2881646655231524e-05, 0.0008004574042309884]",0.0015264586160108535,6.86106346483705e-05,"[0.0, 0.0002058319039451115]",0.00027137042062415194
orion_hct116,t19,cis_fill_2kb,265,0.7058747855917668,0.04756018786849057,0.5154528301886793,0.5047348281521941,1.2584694001749177,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0
orion_hct116,t19,cis_add_2kb,265,0.7080760434534019,0.04762879850313895,0.5154716981132075,0.5047536960767223,1.2589357553975424,0.0022012578616352196,"[0.001043453401943967, 0.0036306460834762723]",0.00870646766169154,6.86106346483705e-05,"[0.0, 0.0002058319039451115]",0.00027137042062415194
orion_hct116,t19,cis_shuffled_2kb,265,0.7060748999428246,0.04756018786849057,0.5154150943396226,0.5047086328783345,1.2585898449097717,0.00020011435105774794,"[-0.00021440823327615845, 0.0006292881646655235]",0.0007914970601537791,0.0,"[0.0, 0.0]",0.0
orion_hct116,t19,cis_replace_5kb,265,0.697527158376215,0.04729921188249909,0.5154150943396226,0.5046970923031374,1.25790396855788,-0.008347627215551743,"[-0.014323184676958263, -0.0036867495711835375]",-0.03301673450927182,-0.0002609759859914827,"[-0.0006583539681162276, 0.0001251673296826375]",-0.0010322184520558642
orion_hct116,t19,cis_min_5kb,265,0.7062464265294455,0.04771864576279752,0.515433962264151,0.5047159602276657,1.2584913393776165,0.0003716409376786736,"[1.4293882218410508e-05, 0.0007861635220125783]",0.0014699231117141567,0.000158457894306951,"[0.0, 0.0004279996732826926]",0.0006267364476319704
orion_hct116,t19,cis_fill_5kb,265,0.7058747855917668,0.04756018786849057,0.5154528301886793,0.5047348281521941,1.2584712887441014,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0
