held_out,shape,arm,target,pds,reach,has_neighbour_5kb
orion_hct116,t16,base,CHD6,0.7196969696969697,0.011627906976744186,False
orion_hct116,t16,base,CHKB,0.8409090909090909,0.0,True
orion_hct116,t16,base,CLCN6,0.4204545454545454,0.0,True
orion_hct116,t16,base,COIL,0.9431818181818182,0.02702702702702703,False
orion_hct116,t16,base,COMMD8,0.1477272727272727,0.018867924528301886,False
orion_hct116,t16,base,COQ10B,0.9848484848484849,0.016877637130801686,False
orion_hct116,t16,base,CSNK2A1,1.0,0.006289308176100629,False
orion_hct116,t16,base,CYTH2,0.9090909090909091,0.0,False
orion_hct116,t16,base,DBF4B,0.9090909090909091,0.0,False
orion_hct116,t16,base,DBN1,0.9393939393939394,0.0,False
orion_hct116,t16,base,DCAF16,0.4734848484848485,0.0,True
orion_hct116,t16,base,DDHD1,0.9166666666666666,0.0,False
orion_hct116,t16,base,DEAF1,0.31060606060606055,0.0,False
orion_hct116,t16,base,DEK,0.8409090909090909,0.05128205128205128,False
orion_hct116,t16,base,DHRS1,0.9621212121212122,0.011764705882352941,True
orion_hct116,t16,base,DHX35,0.48484848484848486,0.0,False
orion_hct116,t16,base,DLAT,0.4772727272727273,0.2222222222222222,False
orion_hct116,t16,base,DMTF1,1.0,0.05405405405405406,False
orion_hct116,t16,base,DNTTIP1,0.9962121212121212,0.1092436974789916,True
orion_hct116,t16,base,DRG2,0.5871212121212122,0.022222222222222223,False
orion_hct116,t16,base,DTNBP1,0.06060606060606055,0.0,False
orion_hct116,t16,base,DVL3,0.41287878787878785,0.0,False
orion_hct116,t16,base,E2F1,0.9318181818181819,0.03076923076923077,False
orion_hct116,t16,base,E2F4,0.9924242424242424,0.0,True
orion_hct116,t16,base,EAPP,0.19318181818181823,0.02857142857142857,False
orion_hct116,t16,base,EEF1A2,0.8863636363636364,0.045454545454545456,False
orion_hct116,t16,base,EPC2,0.7992424242424243,0.0,False
orion_hct116,t16,base,EPM2AIP1,0.9166666666666666,0.017241379310344827,True
orion_hct116,t16,base,EZH2,0.9204545454545454,0.014925373134328358,False
orion_hct116,t16,base,FAM120A,0.5833333333333333,0.0024390243902439024,True
orion_hct116,t16,base,FCGRT,0.446969696969697,0.38333333333333336,False
orion_hct116,t16,base,FHL3,0.7386363636363636,0.1,True
orion_hct116,t16,base,FOXN2,1.0,0.5757575757575758,False
orion_hct116,t16,base,FOXO4,0.7424242424242424,0.012658227848101266,False
orion_hct116,t16,base,FUBP3,0.7083333333333333,0.0,False
orion_hct116,t16,base,FXYD5,0.75,0.011363636363636364,False
orion_hct116,t16,base,FZD2,0.1477272727272727,0.03636363636363636,False
orion_hct116,t16,base,GIGYF2,0.7537878787878788,0.0,False
orion_hct116,t16,base,GLI3,1.0,0.04081632653061224,False
orion_hct116,t16,base,GMEB2,0.9242424242424242,0.028037383177570093,False
orion_hct116,t16,base,GPATCH8,0.9810606060606061,0.0,False
